Country Name,Country Code,Year,Internet (%),Telefonia móvel (por 100),Banda larga (por 100),PIB per capita (US$),Categoria
Bangladesh,BGD,2010,3.7,44.6275,0.272381,757.385280361508,Em desenvolvimento
Bangladesh,BGD,2011,4.5,54.9307,0.305031,837.336944695647,Em desenvolvimento
Bangladesh,BGD,2012,5.0,62.6684,0.387219,859.680536375497,Em desenvolvimento
Bangladesh,BGD,2013,6.63,74.4595,0.974448,958.262989798283,Em desenvolvimento
Bangladesh,BGD,2014,11.9,80.3128,1.95814,1094.46199702838,Em desenvolvimento
Bangladesh,BGD,2015,12.9,82.4276,3.06992,1224.38647668165,Em desenvolvimento
Bangladesh,BGD,2016,18.1,84.5595,4.09944,1649.28380858601,Em desenvolvimento
Bangladesh,BGD,2017,21.5,93.069,4.50131,1811.08221668646,Em desenvolvimento
Bangladesh,BGD,2018,25.6,98.9289,4.92462,1965.24372731467,Em desenvolvimento
Bangladesh,BGD,2019,30.4,100.4,4.90289,2129.79896954606,Em desenvolvimento
Bangladesh,BGD,2020,36.1,106.002,6.04506,2248.85078828233,Em desenvolvimento
Bangladesh,BGD,2021,38.9,110.012,6.64247,2482.84917843357,Em desenvolvimento
Bangladesh,BGD,2022,41.6,109.867,7.1702,2716.48592780431,Em desenvolvimento
Bangladesh,BGD,2023,44.5,114.355,7.89246,2551.01773827307,Em desenvolvimento
Brazil,BRA,2010,40.7,101.667,7.27968,11403.2821278747,Emergentes
Brazil,BRA,2011,45.7,120.008,9.13182,13396.6243562986,Emergentes
Brazil,BRA,2012,48.6,126.132,9.71151,12521.7213519966,Emergentes
Brazil,BRA,2013,51.0,136.589,10.7622,12458.8912138813,Emergentes
Brazil,BRA,2014,54.6,140.305,11.9791,12274.9939689363,Emergentes
Brazil,BRA,2015,58.3,127.836,12.6354,8936.19661712113,Emergentes
Brazil,BRA,2016,60.9,120.101,13.2177,8836.28652735657,Emergentes
Brazil,BRA,2017,67.5,108.093,14.1218,10080.5092819305,Emergentes
Brazil,BRA,2018,70.4,101.602,15.1538,9300.66164923219,Emergentes
Brazil,BRA,2019,73.9,97.3747,15.8622,9029.83326681073,Emergentes
Brazil,BRA,2020,81.3,98.6456,17.4181,7074.19378337644,Emergentes
Brazil,BRA,2021,80.7,104.825,19.8363,7972.5366498646,Emergentes
Brazil,BRA,2022,80.5,101.245,20.9534,9281.33334441234,Emergentes
Brazil,BRA,2023,84.2,101.02,22.4192,10377.5892792557,Emergentes
Germany,DEU,2010,82.0,109.364,32.3663,42409.9356994694,Desenvolvidos
Germany,DEU,2011,81.3,112.419,33.7099,47646.582043143,Desenvolvidos
Germany,DEU,2012,82.4,114.192,34.5501,44735.5882319701,Desenvolvidos
Germany,DEU,2013,84.2,123.435,35.3423,47220.0102098851,Desenvolvidos
Germany,DEU,2014,86.2,122.309,36.3409,48971.0824722599,Desenvolvidos
Germany,DEU,2015,87.6,117.401,37.4127,41911.0109851054,Desenvolvidos
Germany,DEU,2016,84.2,125.024,38.4991,42961.0356905775,Desenvolvidos
Germany,DEU,2017,84.4,132.003,39.9888,45526.5999576533,Desenvolvidos
Germany,DEU,2018,87.0,128.946,40.9651,48874.8595028454,Desenvolvidos
Germany,DEU,2019,88.1,128.292,42.1156,47623.8656074829,Desenvolvidos
Germany,DEU,2020,89.8,128.425,43.3049,47379.765194548,Desenvolvidos
Germany,DEU,2021,91.4,127.125,44.0643,52265.6541620571,Desenvolvidos
Germany,DEU,2022,91.6,124.158,44.6186,49686.1154582583,Desenvolvidos
Germany,DEU,2023,92.5,124.663,45.3805,53940.4073447462,Desenvolvidos
India,IND,2010,7.5,60.4906,0.883809,1347.51939071367,Em desenvolvimento
India,IND,2011,10.1,70.8726,1.05859,1445.46127486037,Em desenvolvimento
India,IND,2012,11.1,67.6264,1.1717,1429.32199520032,Em desenvolvimento
India,IND,2013,12.3,68.3967,1.15198,1432.84397512195,Em desenvolvimento
India,IND,2014,13.5,71.9367,1.2002,1553.88396075118,Em desenvolvimento
India,IND,2015,14.9,75.3793,1.27579,1583.99815907985,Em desenvolvimento
India,IND,2016,16.5,83.9178,1.38795,1707.50892912243,Em desenvolvimento
India,IND,2017,18.2,85.9704,1.31327,1950.10468280866,Em desenvolvimento
India,IND,2018,20.1,85.5501,1.32178,1966.25455171679,Em desenvolvimento
India,IND,2019,29.5,82.8981,1.37913,2041.42863698585,Em desenvolvimento
India,IND,2020,43.4,82.254,1.63623,1907.04251637669,Em desenvolvimento
India,IND,2021,49.65,81.604,1.9488,2239.61384367482,Em desenvolvimento
India,IND,2022,55.9,80.1818,2.35232,2347.44829434623,Em desenvolvimento
India,IND,2023,55.9,80.5632,2.74535,2530.12031278204,Em desenvolvimento
Japan,JPN,2010,78.2,96.1789,26.6035,44968.1562349739,Desenvolvidos
Japan,JPN,2011,79.1,103.642,27.8667,48760.0789494211,Desenvolvidos
Japan,JPN,2012,79.5,110.319,28.2443,49145.2804308193,Desenvolvidos
